City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Faanui,PF,-16.4833,-151.75,79.07,71,57,3.51,broken clouds
244,Salalah,OM,17.0151,54.0924,86.09,84,20,9.22,few clouds
245,Kailua,US,21.4022,-157.7394,74.14,71,16,8.88,few clouds
246,Necochea,AR,-38.5473,-58.7368,50.04,58,98,24.45,overcast clouds
247,Newton,US,42.337,-71.2092,48.09,91,90,1.01,light rain
248,Lincoln,US,40.8,-96.667,55.65,78,90,3.0,overcast clouds
249,Winton,US,37.3894,-120.6133,78.51,63,1,8.05,clear sky
250,Henties Bay,NA,-22.116,14.2845,62.85,70,29,12.75,scattered clouds
251,Wazirganj,IN,28.2167,79.05,85.75,54,55,10.94,broken clouds
252,Araria,IN,26.15,87.5167,84.76,66,44,8.55,scattered clouds
253,Chifeng,CN,42.2683,118.9636,61.61,34,66,7.16,broken clouds
254,Bundaberg,AU,-24.85,152.35,58.21,63,85,4.0,overcast clouds
255,Youghal,IE,51.95,-7.8506,63.59,82,74,6.55,broken clouds
256,Isla Mujeres,MX,21.2311,-86.731,86.16,70,3,5.64,clear sky
257,Saint-Francois,FR,46.4154,3.9054,74.64,38,0,6.91,clear sky
258,Jumla,NP,29.2747,82.1838,56.28,95,92,2.86,overcast clouds
259,Sayyan,YE,15.1718,44.3244,75.18,15,64,15.86,broken clouds
260,Oranjestad,AW,12.524,-70.027,87.75,58,40,17.27,scattered clouds
261,Salamiyah,SY,35.0113,37.0532,77.45,35,0,21.61,clear sky
262,Ayan,RU,56.45,138.1667,36.34,93,59,11.56,broken clouds
263,Baturaja,ID,-4.1333,104.1667,73.8,99,100,2.39,overcast clouds
264,Sao Felix Do Xingu,BR,-6.6447,-51.995,89.8,44,47,2.77,scattered clouds
265,Anadyr,RU,64.75,177.4833,27.1,86,0,7.27,clear sky
266,Haines Junction,CA,60.7522,-137.5108,44.55,57,42,10.36,scattered clouds
267,Gonbad-E Qabus,IR,37.25,55.1672,95.95,12,1,3.49,clear sky
268,Wetaskiwin,CA,52.9668,-113.3687,56.12,58,29,14.63,scattered clouds
269,Naziya,RU,59.8,31.3833,58.06,1,0,10.74,clear sky
270,Naze,JP,28.3667,129.4833,68.11,86,100,7.65,light rain
271,Bokovskaya,RU,49.229,41.8306,80.17,47,11,4.72,few clouds
272,Natchez,US,31.5604,-91.4032,74.64,73,40,12.66,scattered clouds
273,Pavlovsk,RU,50.4578,40.1081,68.13,79,80,15.08,broken clouds
274,Rovaniemi,FI,66.5,25.7167,49.41,37,0,6.91,clear sky
275,Beidao,CN,34.5686,105.8933,67.51,57,89,5.03,overcast clouds
276,Muncar,ID,-8.4333,114.3333,78.44,89,84,2.35,broken clouds
277,Kokoda,PG,-8.8785,147.7407,73.92,95,100,0.43,overcast clouds
278,Sao Filipe,CV,14.8961,-24.4956,75.11,74,4,15.1,clear sky
279,Kenai,US,60.5544,-151.2583,45.03,96,90,5.75,overcast clouds
280,Bassila,BJ,9.0081,1.6654,97.75,29,23,8.59,few clouds
281,Atasu,KZ,48.6814,71.6433,74.98,27,32,5.64,scattered clouds
282,Esna,EG,25.2934,32.554,102.69,10,25,19.55,scattered clouds
283,Severnoye,RU,56.3491,78.3619,55.89,73,94,5.66,overcast clouds
284,Ust-Maya,RU,60.4167,134.5333,50.05,79,100,4.52,overcast clouds
285,Sari,IR,36.5633,53.0601,84.81,48,4,4.09,clear sky
