City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Pavlovsk,RU,68.13,broken clouds,50.4578,40.1081,Grand-Otel'
274,Rovaniemi,FI,49.41,clear sky,66.5,25.7167,Arctic City Hotel
275,Beidao,CN,67.51,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
276,Muncar,ID,78.44,broken clouds,-8.4333,114.3333,Zaky Homestay
277,Kokoda,PG,73.92,overcast clouds,-8.8785,147.7407,Daito Guest House
278,Sao Filipe,CV,75.11,clear sky,14.8961,-24.4956,Hotel Xaguate
279,Kenai,US,45.03,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
281,Atasu,KZ,74.98,scattered clouds,48.6814,71.6433,Dostyk
283,Severnoye,RU,55.89,overcast clouds,56.3491,78.3619,Gostinitsa Severyanka
287,West Fargo,US,60.03,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
288,Derzhavinsk,KZ,75.52,broken clouds,51.1,66.3167,Ooo.khim Baza
289,Roald,NO,77.11,clear sky,62.5833,6.1333,Flem Cabins
291,Blonay,CH,69.94,broken clouds,46.4678,6.8962,Hôtel Villa Toscane
293,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
295,Garmisch-Partenkirchen,DE,65.52,broken clouds,47.4921,11.0958,H+ Hotel Alpina Garmisch-Partenkirchen
296,Turka,UA,53.8,overcast clouds,49.1541,23.0297,Мотель
297,Taltal,CL,68.94,scattered clouds,-25.4,-70.4833,Residencial Karime
300,Poyarkovo,RU,51.44,moderate rain,49.6,128.6833,Gostinitsa
301,Port-Gentil,GA,79.2,moderate rain,-0.7193,8.7815,Fengshui Residence
303,Sanming,CN,68.72,light rain,26.2486,117.6186,Sanming Huangting Lijing Hotel
306,Hamilton,US,51.06,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
307,Grindavik,IS,51.75,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
308,Hornepayne,CA,60.01,clear sky,49.2138,-84.7705,Jackfish River Inn
310,Yulara,AU,53.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
313,Lasa,IT,65.28,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
316,Yining,CN,68.05,overcast clouds,29.0361,114.5636,Xiushui Hotel
319,Collie,AU,51.98,light rain,-33.3667,116.15,Collie Ridge
320,Whitecourt,CA,54.64,scattered clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
322,Puerto Penasco,MX,78.78,clear sky,31.3167,-113.5333,Playa Bonita Resort
323,Paamiut,GL,35.22,overcast clouds,61.994,-49.6678,Hotel Ivaana
324,Inhambane,MZ,76.98,clear sky,-23.865,35.3833,Oceano
325,Pestovo,RU,54.77,overcast clouds,58.5938,35.8024,Отель Вокруг света
328,Poli,TZ,63.21,overcast clouds,-3.3333,36.8,Urafiki House
330,Port-Cartier,CA,53.82,scattered clouds,50.0334,-66.8654,Le Q'Artier
333,Campbellsville,US,54.16,overcast clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
336,Macusani,PE,48.96,broken clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
338,Totness,SR,79.47,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
339,Brigantine,US,54.01,light rain,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
342,Anahuac,MX,69.3,overcast clouds,27.2333,-100.15,Rancho Guadalupe
343,Isla Vista,US,63.61,scattered clouds,34.4133,-119.861,Best Western Plus South Coast Inn
344,Klaksvik,FO,52.72,broken clouds,62.2266,-6.5889999999999995,Airbnb rooms
345,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
347,Atbasar,KZ,70.12,clear sky,51.8,68.3333,"The Ritz-Carlton, Astana"
350,Antsohihy,MG,77.67,clear sky,-14.8796,47.9875,Hotel de Ville
351,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
352,La Rioja,ES,76.78,light rain,42.25,-2.5,Casa Concejos
353,Ayr,GB,65.21,few clouds,55.4627,-4.6339,Mercure Ayr Hotel
354,Port Macquarie,AU,52.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
355,Yagodnoye,RU,35.28,broken clouds,62.55,149.6667,Гостевой дом
356,Hay River,CA,53.58,few clouds,60.8156,-115.7999,Ptarmigan Inn
358,Sorrento,IT,77.27,scattered clouds,40.626,14.3744,Hilton Sorrento Palace
359,Mercedes,AR,54.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
360,Qax,AZ,79.79,clear sky,41.4225,46.9242,El Resort Hotel
361,Saint John,CA,54.18,broken clouds,45.2727,-66.0677,Delta Hotels by Marriott Saint John
362,Esperance,AU,63.84,moderate rain,-33.8667,121.9,Hospitality Esperance
364,Adrian,US,57.58,clear sky,41.8975,-84.0372,"Holiday Inn Express Adrian, an IHG Hotel"
365,Coffs Harbour,AU,57.16,overcast clouds,-30.3,153.1333,Aquajet Motel
366,Huarmey,PE,67.33,overcast clouds,-10.0681,-78.1522,Hotel Miramar
367,Pingliang,CN,68.05,broken clouds,35.5392,106.6861,North Gate Hostel
368,Waingapu,ID,75.04,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
369,Vryburg,ZA,66.36,clear sky,-26.9566,24.7284,Times Premier Lodge
370,Ponta Delgada,PT,65.12,broken clouds,37.7333,-25.6667,Vila Nova Hotel
372,Alice Springs,AU,44.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
374,Marawi,PH,75.65,broken clouds,7.9986,124.2928,Derogongan Residence
375,Quickborn,DE,65.89,few clouds,53.7333,9.9,ibis budget Hamburg Quickborn
377,Comodoro Rivadavia,AR,46.26,clear sky,-45.8667,-67.5,Austral Hotel
378,Kushima,JP,64.56,overcast clouds,31.4583,131.2333,Hanaoka
